"序号","题名","作者","来源","发表时间","数据库","被引","下载","文件名","格式","字节数","检索词"
"1","光电效应测普朗克常数的数据处理及误差分析","王云志;赵敏","大学物理实验","2011-04-26","期刊","24","3333","001_光电效应测普朗克常数的数据处理及误差分析_王云志.pdf","pdf","306032","光电效应 遏止电压 频率"
"2","光电效应测普朗克常数的三种方法","吴丽君;李倩","大学物理实验","2007-12-25","期刊","32","3118","002_光电效应测普朗克常数的三种方法_吴丽君.pdf","pdf","159962","光电效应 伏安特性"
"3","在光电效应实验中用曲率法测普朗克常量","章佳伟,殷士龙","物理实验","2003-11-25","期刊","34","1239","003_在光电效应实验中用曲率法测普朗克常量_章佳伟.pdf","pdf","219886","光电效应 普朗克常量 伏安特性"
"4","爱因斯坦光电方程与光电效应实验外推法","杨际青","大学物理","2003-03-20","期刊","27","1114","004_爱因斯坦光电方程与光电效应实验外推法_杨际青.pdf","pdf","262745","光电效应 普朗克常量 截止电压"
"5","改进的光电效应测量普朗克常量外推法实验","杨际青","大学物理","2003-12-20","期刊","18","1158","005_改进的光电效应测量普朗克常量外推法实验_杨际青.pdf","pdf","299516","光电效应 伏安特性"
"6","光电效应测普朗克常数新数据处理方法","白光富;袁升;马泽斌;胡仁林","物理与工程","2013-06-15","期刊","10","1005","006_光电效应测普朗克常数新数据处理方法_白光富.pdf","pdf","646290","光电效应 波长 频率 截止电压"
"7","光电效应测量普朗克常数的方法及误差分析","宋晓东","吉林建筑工程学院学报","2009-12-15","期刊","9","1623","007_光电效应测量普朗克常数的方法及误差分析_宋晓东.pdf","pdf","1119669","光电效应 伏安特性"
"8","光电效应实验分析","霍连利,蒙上阳,杨秀清","物理实验","2001-02-25","期刊","19","1317","008_光电效应实验分析_霍连利.pdf","pdf","175638","光电效应 遏止电压 频率"
"9","光电效应实验教学中饱和光电流与入射光强成正比的实验探讨","杨骏骏;何光宏;李巧梅;潘量;徐玮婧","物理实验","2019-02-20","期刊","7","1160","009_光电效应实验教学中饱和光电流与入射光强成正比的实验探讨_杨骏骏.pdf","pdf","278447","光电效应 伏安特性"
"10","在光电效应测定普朗克常数实验中测量方法的讨论","周永军;朴林鹤;吕佳","沈阳航空航天大学学报","2011-04-15","期刊","12","1440","010_在光电效应测定普朗克常数实验中测量方法的讨论_周永军.pdf","pdf","257408","光电效应 伏安特性"
