"paper_id","title","score","tier","topics","primary_project_use","text_status","notes"
"P001","光电效应测普朗克常数的数据处理及误差分析","7.6","supporting","T01;T05","mapping.js;physics.js;ExperimentReport.vue;教学讲解文案","pdf_text_extracted","光电效应测普朗克常数的数据处理及误差分析：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P002","光电效应测普朗克常数的三种方法","9.4","core","T01;T05;T03","mapping.js;physics.js;ExperimentReport.vue;教学讲解文案","pdf_text_extracted","光电效应测普朗克常数的三种方法：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P003","在光电效应实验中用曲率法测普朗克常量","9.4","core","T05;T01;T03","VirtualLab.vue;ExperimentReport.vue;useVirtualLabController.js;报告生成","pdf_text_extracted","在光电效应实验中用曲率法测普朗克常量：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P004","爱因斯坦光电方程与光电效应实验外推法","8.5","core","T05;T01;T04","VirtualLab.vue;ExperimentReport.vue;useVirtualLabController.js;报告生成","pdf_text_extracted","爱因斯坦光电方程与光电效应实验外推法：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑光电管内部电子收集、本底电流、暗电流或阳极相关寄生项的解释。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P005","改进的光电效应测量普朗克常量外推法实验","8.6","core","T05;T01;T03","VirtualLab.vue;ExperimentReport.vue;useVirtualLabController.js;报告生成","pdf_text_extracted","改进的光电效应测量普朗克常量外推法实验：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P006","光电效应测普朗克常数新数据处理方法","8.6","core","T01;T05;T03","mapping.js;physics.js;ExperimentReport.vue;教学讲解文案","pdf_text_extracted","光电效应测普朗克常数新数据处理方法：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P007","光电效应测量普朗克常数的方法及误差分析","9.4","core","T05;T01;T03","VirtualLab.vue;ExperimentReport.vue;useVirtualLabController.js;报告生成","pdf_text_extracted","光电效应测量普朗克常数的方法及误差分析：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P008","光电效应实验分析","7.7","supporting","T01;T05;T04","mapping.js;physics.js;ExperimentReport.vue;教学讲解文案","pdf_text_extracted","光电效应实验分析：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑光电管内部电子收集、本底电流、暗电流或阳极相关寄生项的解释。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
"P009","光电效应实验教学中饱和光电流与入射光强成正比的实验探讨","7.2","supporting","T02;T06;T05","mapping.js;PhotoelectricAnimationPanel.vue;VirtualLab.vue;3D 微观小窗","pdf_text_extracted","光电效应实验教学中饱和光电流与入射光强成正比的实验探讨：支撑光强与光电流、饱和电流或弱光测量之间的关系表达。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。支撑教学流程、探究任务和概念讲解的组织方式。"
"P010","在光电效应测定普朗克常数实验中测量方法的讨论","8.6","core","T01;T05;T03","mapping.js;physics.js;ExperimentReport.vue;教学讲解文案","pdf_text_extracted","在光电效应测定普朗克常数实验中测量方法的讨论：支撑频率/波长、遏止电压、截止电压、逸出功或普朗克常量测定之间的关系建模。支撑伏安特性曲线、电压区段和曲线读图相关的动画与数据展示。支撑实验误差、数据处理、仪器参数或光阑/距离等操作变量的报告说明。"
